103807,2016-2-2 13:43,M,277
103215,2016-2-2 13:44,F,79
1236,2016-2-2 13:47,F,167
1236,2016-2-2 13:50,F,64
25911,2016-2-2 13:53,F,13
25911,2016-2-2 13:53,F,38
25911,2016-2-2 13:54,F,247
25911,2016-2-2 13:59,F,47
25911,2016-2-2 13:59,F,6
25911,2016-2-2 14:01,F,131
103807,2016-2-2 14:05,M,82
103807,2016-2-2 14:06,M,17
25911,2016-2-2 14:06,F,117
103807,2016-2-2 14:08,M,246
25911,2016-2-2 14:08,F,58
98746,2016-2-2 14:20,F,1994
103215,2016-2-2 14:29,F,84
98746,2016-2-2 14:54,F,1246
103215,2016-2-2 15:02,F,111
102686,2016-2-2 15:08,F,72
104222,2016-2-2 15:09,M,338
102686,2016-2-2 15:11,F,32
104222,2016-2-2 15:16,M,70
104222,2016-2-2 15:21,M,90
104222,2016-2-2 15:23,M,24
1242,2016-2-2 16:12,M,20
103215,2016-2-2 16:13,F,15
1242,2016-2-2 16:14,M,14
31179,2016-2-2 16:15,F,10
25911,2016-2-2 16:15,F,10
31179,2016-2-2 16:15,F,15
1244,2016-2-2 16:16,M,8
31179,2016-2-2 16:16,F,353
25911,2016-2-2 16:18,F,10
1242,2016-2-2 16:18,M,57
71599,2016-2-2 16:19,M,490
3736,2016-2-2 16:20,F,208
101805,2016-2-2 16:22,F,166
31179,2016-2-2 16:22,F,38
31179,2016-2-2 16:23,F,4
31179,2016-2-2 16:23,F,240
88069,2016-2-2 16:23,F,305
101805,2016-2-2 16:25,F,47
101805,2016-2-2 16:28,F,9
101805,2016-2-2 16:28,F,9
1242,2016-2-2 16:29,M,41
1242,2016-2-2 16:30,M,1004
69970,2016-2-2 16:30,M,95
101805,2016-2-2 16:31,F,20
101805,2016-2-2 16:32,F,1139
25911,2016-2-2 16:35,F,29
3736,2016-2-2 16:35,F,52
25911,2016-2-2 16:36,F,23
25911,2016-2-2 16:36,F,833
71599,2016-2-2 16:40,M,145
13230,2016-2-2 16:43,F,900
1244,2016-2-2 16:44,M,360
1244,2016-2-2 16:50,M,94
103143,2016-2-2 16:51,M,205
1244,2016-2-2 16:52,M,194
103143,2016-2-2 16:54,M,88
1244,2016-2-2 16:55,M,141
13230,2016-2-2 16:58,F,451
13230,2016-2-2 17:06,F,9
13230,2016-2-2 17:06,F,1142
13230,2016-2-2 17:25,F,10
101805,2016-2-2 17:35,F,182
77851,2016-2-2 17:36,M,966
101805,2016-2-2 17:39,F,319
25911,2016-2-2 17:41,F,36
25911,2016-2-2 17:43,F,62
101805,2016-2-2 17:45,F,260
101805,2016-2-2 17:49,F,128
101805,2016-2-2 18:01,F,242
104378,2016-2-2 18:02,M,133
101805,2016-2-2 18:05,F,1179
25911,2016-2-2 18:05,F,35
25911,2016-2-2 18:06,F,37
25911,2016-2-2 18:08,F,80
25911,2016-2-2 18:18,F,37
101805,2016-2-2 18:25,F,275
25911,2016-2-2 18:25,F,122
25911,2016-2-2 18:30,F,14
102470,2016-2-2 18:33,F,68
101805,2016-2-2 18:33,F,1407
25911,2016-2-2 18:34,F,276
13230,2016-2-2 18:55,F,15
13230,2016-2-2 18:55,F,31
25911,2016-2-2 18:57,F,98
101805,2016-2-2 19:00,F,110
