101810,98419,M,F,1454517309,1454517354
98419,101810,F,M,1454517278,1454518185
101810,98419,M,F,1454517474,1454518185
101810,98419,M,F,1454517356,1454518206
98419,101810,F,M,1454518208,1454518234
101810,98419,M,F,1454518208,1454518234
98419,101810,F,M,1454518272,1454518848
101810,98419,M,F,1454518272,1454518848
98419,99976,F,M,1454521957,1454521982
98419,99976,F,M,1454521983,1454521987
98419,99976,F,M,1454522001,1454522141
98419,99976,F,M,1454522141,1454522259
98419,99976,F,M,1454525257,1454526042
98419,99976,F,M,1454526047,1454526049
104457,101740,F,M,1454543247,1454543268
104182,88363,M,F,1454556731,
104182,88363,M,F,1454556782,
88363,104182,F,,1454556871,
88363,104182,F,,1454556860,
88363,104182,F,,1454556918,
88363,104182,F,,1454556994,
88363,104182,F,,1454556959,
88363,104182,F,,1454556962,
88363,104182,F,,1454557577,
104182,88363,M,F,1454557504,
104967,105111,M,F,1454564697,1454564708
105111,104967,F,M,1454564578,1454564588
104967,105111,M,F,1454564944,1454564979
104967,105111,M,F,1454564979,1454565014
105111,104967,F,M,1454565131,1454565196
105111,104967,F,M,1454564859,1454564894
105111,104967,F,M,1454565074,1454565129
105111,104967,F,M,1454565331,1454565334
104967,105111,M,F,1454565196,1454565454
105111,104967,F,M,1454565277,1454565547
88363,104182,F,,1454557865,
13230,26873,F,F,1454577669,1454577768
13230,26873,F,F,1454577811,1454577846
13230,26873,F,F,1454577886,1454577971
13230,101805,F,F,1454578352,1454578404
101805,13230,F,F,1454578355,1454578404
13230,101805,F,F,1454578452,1454578504
101805,13230,F,F,1454578453,1454578505
13230,101805,F,F,1454578635,1454578688
101805,13230,F,F,1454578637,1454578689
101805,13230,F,F,1454578709,1454578752
13230,101805,F,F,1454578707,1454578750
13230,101805,F,F,1454578874,1454578907
101805,13230,F,F,1454578878,1454578911
101805,13230,F,F,1454578932,1454578984
13230,101805,F,F,1454578928,1454578980
13230,101805,F,F,1454579048,1454579086
101805,13230,F,F,1454579051,1454579088
104967,105198,M,F,1454579104,1454579125
13230,101805,F,F,1454579106,1454579143
101805,13230,F,F,1454579108,1454579146
13230,101805,F,F,1454579516,1454579574
101805,13230,F,F,1454579517,1454579575
101805,13230,F,F,1454579598,1454579602
13230,101805,F,F,1454579597,1454579600
101805,13230,F,F,1454579625,1454579681
13230,101805,F,F,1454579624,1454579680
101805,13230,F,F,1454579754,1454579818
13230,101805,F,F,1454579751,1454579820
13230,101805,F,F,1454580260,1454580301
101805,13230,F,F,1454580264,1454580304
101805,13230,F,F,1454580337,1454580423
13230,101805,F,F,1454580333,1454580420
101805,13230,F,F,1454580438,1454580560
13230,101805,F,F,1454580434,1454580557
104967,105198,M,F,1454580622,1454580637
104967,105198,M,F,1454580639,1454580648
13230,101805,F,F,1454580641,1454580675
101805,13230,F,F,1454580643,1454580677
101805,13230,F,F,1454580701,1454580795
13230,101805,F,F,1454580699,1454580793
105337,100445,F,M,1454602441,1454602743
105465,104967,F,M,1454604783,1454604817
96258,104619,F,M,1454604891,1454604913
104619,96258,M,F,1454604941,1454605123
96258,104619,F,M,1454604943,1454605141
104619,96258,M,F,1454605182,1454605278
96258,104619,F,M,1454605184,1454605295
96258,104619,F,M,1454605330,1454605376
104619,96258,M,F,1454605388,1454605628
104619,96258,M,F,1454605328,1454605374
96258,104619,F,M,1454605389,1454605814
96258,104619,F,M,1454605817,1454605821
104619,96258,M,F,1454605632,1454605820
96258,104619,F,M,1454605846,1454605861
96258,104619,F,M,1454605871,1454606036
104619,96258,M,F,1454605870,1454605910
104619,96258,M,F,1454605912,1454606034
103776,96258,M,F,1454617463,1454618313
96258,103776,F,M,1454617464,1454618664
96258,103776,F,M,1454621620,1454621623
103776,96258,M,F,1454621660,1454621775
103776,96258,M,F,1454622626,1454622811
103776,96258,M,F,1454623176,1454623185
96258,103776,F,M,1454621665,1454623175
105186,78176,F,M,1454637868,1454637957
105943,105955,F,M,1454682099,1454682124
105955,105943,M,F,1454682100,1454682131
105955,105943,M,F,1454682131,1454682152
105955,105943,M,F,1454682194,1454682195
105943,105955,F,M,1454682155,1454682195
105943,105955,F,M,1454682129,1454682214
105955,105943,M,F,1454682551,1454682808
105955,105943,M,F,1454682215,1454683662
105943,105955,F,M,1454683777,1454683798
105955,105943,M,F,1454683662,1454685914
101810,102554,M,F,1454686235,1454686280
101810,102554,M,F,1454686327,1454686367
101810,102554,M,F,1454686285,1454686415
101810,102554,M,F,1454686415,1454686515
102554,101810,F,M,1454686229,1454686545
101810,102554,M,F,1454686582,1454686647
101810,102554,M,F,1454686872,1454686882
101810,102554,M,F,1454686925,1454686958
104967,106005,M,F,1454687609,1454687841
106005,104967,F,M,1454687610,1454688026
102554,101810,F,M,1454686575,1454688115
101810,102554,M,F,1454686883,1454688963
105186,94610,F,M,1454687920,1454689460
94610,105186,M,F,1454687919,1454687968
104136,83928,F,M,1454734265,1454734269
83928,104136,M,F,1454734273,1454734277
83928,104136,M,F,1454734369,1454734419
104136,83928,F,M,1454734356,1454734411
83928,106200,M,F,1454747098,1454747273
97250,104856,M,M,1454769295,1454769315
97250,104856,M,M,1454769420,1454769435
97250,104856,M,M,1454769436,1454769730
106213,100834,F,M,1454773643,1454773713
83928,105998,M,F,1454775206,1454775223
83928,105998,M,F,1454775398,1454775445
97250,104856,M,M,1454776697,1454776717
97250,104856,M,M,1454776718,1454777008
102554,101810,F,M,1454777256,1454777261
101810,102554,M,F,1454777261,1454777366
97250,104856,M,M,1454777332,1454777386
